title,imdbid,production_countries
"Turn Left, Turn Right",367174,Singapore
Gothika,348836,United States of America
High Roller: The Stu Ungar Story,338467,United States of America
Fear and Trembling,318725,Japan
Fear and Trembling,318725,France
My Boss's Daughter,270980,United States of America
Basic,264395,Germany
Basic,264395,United States of America
Intolerable Cruelty,138524,United States of America
High Tension,338095,France
High Tension,338095,Italy
High Tension,338095,Romania
An Unexpected Love,329679,United States of America
The Lizzie McGuire Movie,306841,United States of America
The Station Agent,340377,United States of America
Rugrats Go Wild,337711,United States of America
Ju-on: The Grudge 2,367913,Japan
Robot Stories,301777,
The Cheetah Girls 2,800318,United States of America
Soldier's Girl,324013,United States of America
Memories of Murder,353969,South Korea
House of 1000 Corpses,251736,United States of America
My Life Without Me,314412,Canada
My Life Without Me,314412,Spain
I'm Not Scared,326977,Italy
I'm Not Scared,326977,Spain
I'm Not Scared,326977,United Kingdom
Freddy vs. Jason,329101,Italy
Freddy vs. Jason,329101,United States of America
Off the Map,332285,United States of America
Nathalie...,348853,France
April's Shower,325007,United States of America
Right on Track,323810,United States of America
Barbie of Swan Lake,383206,United States of America
Sylvia,325055,United Kingdom
Tears of the Sun,314353,United States of America
The Brown Bunny,330099,France
The Brown Bunny,330099,Japan
The Brown Bunny,330099,United States of America
Pokémon: Jirachi - Wish Maker,420076,Japan
The Cat in the Hat,312528,United States of America
The Incredibles,317705,United States of America
Kill Bill: Vol. 2,378194,United States of America
D.E.B.S.,367631,United States of America
Iron Jawed Angels,338139,United States of America
Saved!,332375,United States of America
Sky Captain and the World of Tomorrow,346156,United Kingdom
Sky Captain and the World of Tomorrow,346156,United States of America
Spanglish,371246,United States of America
A Dirty Shame,365125,United States of America
Mulan II,279967,United States of America
Bring It On Again,334965,United States of America
The Notebook,332280,United States of America
Kamikaze Girls,416220,Japan
Ella Enchanted,327679,Ireland
Ella Enchanted,327679,United Kingdom
I ♥ Huckabees,356721,Germany
I ♥ Huckabees,356721,United States of America
Mrs. Ashboro's Cat,371835,Canada
Born Into Brothels: Calcutta's Red Light Kids,388789,United States of America
Born Into Brothels: Calcutta's Red Light Kids,388789,India
Cube Zero,377713,Canada
Van Helsing,338526,Czech Republic
Van Helsing,338526,United States of America
Ladies in Lavender,377084,United Kingdom
Shaun of the Dead,365748,France
Shaun of the Dead,365748,United Kingdom
The Princess Diaries 2: Royal Engagement,368933,United States of America
Catwoman,327554,United States of America
Double Dare,365135,New Zealand
Double Dare,365135,United States of America
Speak,378793,United States of America
The Stepford Wives,327162,United States of America
Million Dollar Baby,405159,United States of America
Innocence,375233,Belgium
Innocence,375233,France
Innocence,375233,Japan
Innocence,375233,United Kingdom
A Very Long Engagement,344510,France
A Cinderella Story,356470,Canada
A Cinderella Story,356470,United States of America
Downfall,363163,Austria
Downfall,363163,Germany
Downfall,363163,Italy
Appleseed,401233,Japan
Or (My Treasure),388311,Israel
Or (My Treasure),388311,France
Finding Neverland,308644,United Kingdom
Finding Neverland,308644,United States of America
Closer,376541,United Kingdom
Closer,376541,United States of America
My Summer of Love,382189,United Kingdom
Lemony Snicket's A Series of Unfortunate Events,339291,Germany
Lemony Snicket's A Series of Unfortunate Events,339291,United States of America
Immortal,314063,United Kingdom
Immortal,314063,France
Immortal,314063,Italy
AVP: Alien vs. Predator,370263,United States of America
Sideways,375063,United States of America
Garden State,333766,United States of America
Harry Potter and the Prisoner of Azkaban,304141,United Kingdom
Harry Potter and the Prisoner of Azkaban,304141,United States of America
A Good Woman,379306,Italy
A Good Woman,379306,Luxembourg
A Good Woman,379306,Spain
A Good Woman,379306,United Kingdom
A Good Woman,379306,United States of America
Hana & Alice,407851,Japan
A Home at the End of the World,359423,United States of America
Saving Face,384504,United States of America
Vera Drake,383694,United Kingdom
Vera Drake,383694,France
Three… Extremes,420251,Hong Kong
Three… Extremes,420251,Japan
Three… Extremes,420251,South Korea
Head-On,347048,Germany
Head-On,347048,Turkey
Cellular,337921,United States of America
Pusher II,396184,Denmark
Pusher II,396184,United Kingdom
Ray,350258,United States of America
Dawn of the Dead,363547,Canada
Dawn of the Dead,363547,United States of America
New York Minute,363282,United States of America
2046,212712,Germany
2046,212712,Hong Kong
2046,212712,China
2046,212712,France
2046,212712,Italy
Maria Full of Grace,390221,Ecuador
Maria Full of Grace,390221,Colombia
Maria Full of Grace,390221,United States of America
A Love Song for Bobby Long,369672,United States of America
Scooby-Doo 2: Monsters Unleashed,331632,United States of America
Raising Helen,350028,United States of America
Crash,375679,Germany
Crash,375679,United States of America
The Grudge,391198,Japan
The Grudge,391198,United States of America
13 Going on 30,337563,United States of America
They Came Back,378661,France
Tales from the Crapper,338479,United States of America
Connie and Carla,345074,United States of America
Ginger Snaps 2: Unleashed,353489,Canada
White Chicks,381707,United States of America
Crimes of Fashion,414923,United States of America
Home on the Range,299172,United States of America
Taxi,316732,France
Taxi,316732,United States of America
Eulogy,349416,Germany
Eulogy,349416,United Kingdom
Eulogy,349416,United States of America
Raise Your Voice,361696,United States of America
Caribe,439491,Costa Rica
Bride & Prejudice,361411,India
Bride & Prejudice,361411,United Kingdom
Bride & Prejudice,361411,United States of America
House of Voices,367000,France
House of Voices,367000,Romania
Creep,381966,Germany
Creep,381966,United Kingdom
The Holy Girl,300270,Argentina
The Holy Girl,300270,Italy
The Holy Girl,300270,Netherlands
The Holy Girl,300270,Spain
The Village,368447,United States of America
Bridget Jones: The Edge of Reason,317198,France
Bridget Jones: The Edge of Reason,317198,Germany
Bridget Jones: The Edge of Reason,317198,Ireland
Bridget Jones: The Edge of Reason,317198,United Kingdom
Bridget Jones: The Edge of Reason,317198,United States of America
DodgeBall: A True Underdog Story,364725,Germany
DodgeBall: A True Underdog Story,364725,United States of America
Meet the Fockers,290002,United States of America
The Librarian: Quest for the Spear,412915,United States of America
After the Sunset,367479,United States of America
Dear Frankie,377752,United Kingdom
The Perfect Score,314498,Germany
The Perfect Score,314498,United States of America
Being Julia,340012,
Christmas with the Kranks,388419,United States of America
Veer-Zaara,420332,India
Swades,367110,India
Swades,367110,United States of America
Without a Paddle,364751,United States of America
Puppet Master vs Demonic Toys,431340,United States of America
Puppet Master vs Demonic Toys,431340,Bulgaria
Barbie as The Princess & the Pauper,426955,Canada
Naruto: Ninja Clash in the Land of Snow,476680,Japan
The Sea Inside,369702,Spain
The Sea Inside,369702,France
The Sea Inside,369702,Italy
Blessed,390450,Romania
Blessed,390450,United Kingdom
The SpongeBob SquarePants Movie,345950,United States of America
Sleepover,368975,United States of America
Dirty Dancing: Havana Nights,338096,United States of America
Blade: Trinity,359013,United States of America
The Edukators,408777,Austria
The Edukators,408777,Germany
The Passion of the Christ,335345,United States of America
In My Country,349260,Ireland
In My Country,349260,South Africa
In My Country,349260,United Kingdom
In My Country,349260,United States of America
Hotel,415855,Austria
Hotel,415855,Germany
Stuck in the Suburbs,410696,United States of America
Soul Plane,367085,United States of America
Confessions of a Teenage Drama Queen,361467,Germany
Confessions of a Teenage Drama Queen,361467,United States of America
Skeleton Man,372832,United States of America
Wild Things: Diamonds in the Rough,448179,United States of America
Sin City,401792,United States of America
Hard Candy,424136,United States of America
Hide and Seek,382077,United States of America
The Island,399201,United States of America
Water,240200,Canada
Water,240200,India
Imagine Me & You,421994,Germany
Imagine Me & You,421994,United Kingdom
Imagine Me & You,421994,United States of America
North Country,395972,United States of America
The 40 Year Old Virgin,405422,United States of America
The Skeleton Key,397101,Germany
The Skeleton Key,397101,United States of America
Broken Flowers,412019,France
Broken Flowers,412019,United States of America
Casanova,402894,United States of America
Sophie Scholl: The Final Days,426578,Germany
War of the Worlds,407304,United States of America
Miss Congeniality 2: Armed and Fabulous,385307,United States of America
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",363771,United Kingdom
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",363771,United States of America
Saw II,432348,United States of America
The New World,402399,United States of America
The Mostly Unfabulous Social Life of Ethan Green,424287,United States of America
Corpse Bride,121164,United States of America
Just Like Heaven,425123,United States of America
Æon Flux,402022,United States of America
The Constant Gardener,387131,China
The Constant Gardener,387131,Germany
The Constant Gardener,387131,United Kingdom
The Constant Gardener,387131,United States of America
In Her Shoes,388125,United States of America
Waiting...,348333,United States of America
Sky High,405325,United States of America
The Sisterhood of the Traveling Pants,403508,United States of America
Mrs Palfrey at The Claremont,421229,United Kingdom
Me and You and Everyone We Know,415978,United States of America
Wedding Crashers,396269,United States of America
Red Eye,421239,United States of America
Domino,421054,France
Domino,421054,United Kingdom
Domino,421054,United States of America
Kinky Boots,434124,United Kingdom
Kinky Boots,434124,United States of America
Nana,471834,Italy
Happy Endings,361693,United States of America
